page,page_title,active_visitors
treasury.gov/tigta/contact_report_scam_ok.shtml,Contact: IRS Impersonation Scam Reporting - U.S. Treasury Inspector General for Tax Administration (TIGTA),23
usajobs.gov/applicant/profile/hiringeligibilitydata/,USAJOBS - Profile - Hiring Eligibility,23
uscis.gov/file-online/log-online-filing,Log in to Online Filing | USCIS,23
wrh.noaa.gov/sew/,National Weather Service - NWS Seattle,23
catalog.usmint.gov/on/demandware.store/sites-usm-site/default/search-show,Search Results - US Mint Catalog Online,22
cdc.gov/co/faqs.htm,CDC - Carbon Monoxide Poisoning - Frequently Asked Questions,22
cdc.gov/zika/transmission/index.html,Transmission | Zika virus | CDC,22
ceac.state.gov/ivapp/ivapp/complete/complete_family1.aspx?node=parents,Immigrant Visa - Family Information: Parents,22
complaint.ic3.gov/default.aspx,IC3 Complaint Referral Form,22
e-verify.uscis.gov/emp/vislogin.aspx?js=yes,E-Verify - Home Page,22
egov.uscis.gov/casestatus/logon.do,myUSCIS - My Cases,22
epa.gov/formaldehyde/questions-and-answers-regarding-laminate-flooring-0,Questions and Answers Regarding Laminate Flooring | Formaldehyde | US EPA,22
faq.ssa.gov/ics/support/kbanswer.asp?questionid=3734,How do I apply for Social Security retirement benefits?,22
fec.gov/finance/disclosure/candcmte_info.shtml,Committee/Candidate Search,22
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 35.72Â°N and Longitude 78.86Â°W (Elev. 413 ft),22
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 35.92Â°N and Longitude 79.05Â°W (Elev. 404 ft),22
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 36Â°N and Longitude 78.9Â°W (Elev. 400 ft),22
gsaauctions.gov/gsaauctions/aucindx/,"GSA Auctions, General Services Administration, Government Site for Auctions",22
help.usajobs.gov/index.php/jobs_for_federal_employees,Jobs for Federal Employees - USAJOBS Help,22
hhs.gov/,HHS.gov,22
irs.gov/credits-&-deductions/individuals/earned-income-tax-credit,Earned Income Tax Credit (EITC),22
irs.gov/uac/about-publication-17,"Publication 17, Your Federal Income Tax",22
irs.gov/uac/newsroom/irs-warns-of-pervasive-telephone-scam,IRS Warns of Pervasive Telephone Scam,22
justice.gov/usao-ndny/pr/former-va-nurse-pleads-guilty-stealing-controlled-substance-hospital-syringes,Former VA Nurse Pleads Guilty To Stealing Controlled Substance From Hospital Syringes | USAO-NDNY | Department of Justice,22
nlm.nih.gov/medlineplus/spanish/ency/article/000292.htm,Hemorroides: MedlinePlus enciclopedia mÃ©dica,22
nlm.nih.gov/medlineplus/spanish/ency/article/003097.htm,Ganglios linfÃ¡ticos inflamados: MedlinePlus enciclopedia mÃ©dica,22
nlm.nih.gov/medlineplus/spanish/ency/article/003356.htm,ProteÃ_na C reactiva: MedlinePlus enciclopedia mÃ©dica,22
nlm.nih.gov/medlineplus/spanish/ency/article/003684.htm,Examen de la hormona estimulante de la tiroides (TSH): MedlinePlus enciclopedia mÃ©dica,22
safercar.gov/checkforrecalls,. | Safercar -- National Highway Traffic Safety Administration (NHTSA),22
sm.myhealth.va.gov/mhv-sm-web/sendmessage.action,My HealtheVet - Secure Messaging - Inbox,22
socialsecurity.gov/agency/contact/phone.html,Contact Social Security By Phone,22
spotthestation.nasa.gov/sightings/,ISS sightings over your city | Spot The Station | NASA,22
studentaid.ed.gov/sa/about,About Us | Federal Student Aid,22
studentaid.ed.gov/sa/glossary,Glossary | Federal Student Aid,22
transportation.gov/,Department of Transportation,22
travel.state.gov/content/passports/en/alertswarnings.html,Alerts and Warnings,22
travel.state.gov/content/passports/en/passports/services/correction.html,Change or Correct a Passport,22
usajobs.gov/getjob/viewdetails/427636500,USAJOBS - Search Jobs,22
uscis.gov/n-565,Application for Replacement Naturalization/Citizenship Document | USCIS,22
usmarshals.gov/,U.S. Marshals Home Page,22
weather.gov/bgm/,"Binghamton, NY",22
weather.gov/pah/,"Paducah, KY",22
weather.gov/subscribe,Email and SMS Weather Alert Services,22
apod.nasa.gov/apod/ap160224.html,APOD: 2016 February 24 - USAs Northeast Megalopolis from Space,21
benefits.va.gov/compensation/rates-index.asp,Benefit Rates - Compensation,21
benefits.va.gov/homeloans/,Home Loans Home,21
bls.gov/ooh/a-z-index.htm,A-Z Index : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,21
catalog.usmint.gov/on/demandware.store/sites-usm-site/default/cart-show,The United States Mint Cart,21
cdc.gov/flu/weekly/,Weekly U.S. Influenza Surveillance Report | Seasonal Influenza (Flu) | CDC,21
cdc.gov/zika/transmission/sexual-transmission.html,Zika and Sexual Transmission | Zika virus | CDC,21
census.gov/foreign-trade/schedules/b/index.html,Foreign trade - Schedule B,21
consumer.ftc.gov/features/feature-0014-identity-theft,Identity Theft | Consumer Information,21
doi.gov/,U.S. Department of the Interior | Protecting America's Great Outdoors and Powering Our Future,21
export.gov/safeharbor/,(not set),21
faa.gov/search/?omni=mainsearch,Search Results,21
irs.gov/affordable-care-act/employers/questions-and-answers-about-information-reporting-by-employers-on-form-1094-c-and-form-1095-c,Questions and Answers about Information Reporting by Employers on Form 1094-C and Form 1095-C,21
irs.gov/individuals,Online Services and Tax Information for Individuals,21
irs.gov/uac/about-form-1040x,"Form 1040X, Amended U.S. Individual Income Tax Return",21
marsmobile.jpl.nasa.gov/programmissions/overview/,Mars Mobile,21
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a693050-es.html,Omeprazol: MedlinePlus medicinas,21
nlm.nih.gov/medlineplus/spanish/ency/article/000356.htm,Hipertiroidismo: MedlinePlus enciclopedia mÃ©dica,21
nlm.nih.gov/medlineplus/spanish/ency/article/003090.htm,Fiebre: MedlinePlus enciclopedia mÃ©dica,21
nlm.nih.gov/medlineplus/spanish/ency/article/003130.htm,Heces con sangre o alquitranosas: MedlinePlus enciclopedia mÃ©dica,21
nlm.nih.gov/medlineplus/spanish/ency/article/007490.htm,MediciÃ_n de la presiÃ_n arterial: MedlinePlus enciclopedia mÃ©dica,21
nlm.nih.gov/medlineplus/spanish/thyroiddiseases.html,Enfermedades de la tiroides: MedlinePlus en espaÃ±ol,21
npdb.hrsa.gov/login.jsp,The NPDB - Health Care Organizations Sign In,21
regulations.gov/,Regulations.gov - Search Results,21
socialsecurity.gov/myaccount/lp/landing-page-iclaim-submit.html,Manage Your Benefits With A my Social Security Account,21
spanish.caracas.usembassy.gov/b1_b2.html,"Visas B-1/B-2 (Visitante Temporal por Negocios o por Placer) | Caracas, Venezuela - Embajada de los Estados Unidos",21
spc.noaa.gov/products/md/2016/md0150.html,Storm Prediction Center Mesoscale Discussion 150,21
ssa.gov/disabilityssi/ssi.html,Supplemental Security Income (SSI) Benefits,21
studentaid.ed.gov/sa/types/grants-scholarships/pell,Federal Pell Grants | Federal Student Aid,21
studentaid.ed.gov/sa/types/loans,Loans | Federal Student Aid,21
training.fema.gov/is/courseoverview.aspx?code=is-700.a,FEMA - Emergency Management Institute (EMI) Course | IS-700.A: National Incident Management System (NIMS) An Introduction,21
travel.state.gov/content/visas/en/law-and-policy/bulletin.html,Visa Bulletin,21
usa.gov/government-jobs,Find a Federal Government Job | USA.gov,21
usajobs.gov/account/forgotpassword,USAJOBS - I forgot,21
usajobs.gov/applicant/profile/personalinformation/,USAJOBS - Profile - Personal Information,21
usajobs.gov/search/getresults?internship=yes,USAJOBS - The Federal Governmentâ€™s Official Jobs Site,21
uscis.gov/i-765-addresses,"Direct Filing Addresses for Form I-765, Application for Employment Authorization | USCIS",21
weather.gov/btv/,"Burlington, VT",21
whitehouse.gov/1600/legislative-branch,The Legislative Branch | whitehouse.gov,21
whitehouse.gov/participate/tours-and-events,Tours & Events | whitehouse.gov,21
apps.irs.gov/app/picklist/list/formspublications.html?indexoffirstrow=325&sortcolumn=sortorder&value=&criteria=&resultsperpage=25&isdescending=false,Forms and Publications (PDF),20
apps.irs.gov/app/scripts/exit.jsp?dest=http://www.freetaxact.com/alltax.asp?sc=15050302,IRS Disclaimer,20
benefits.gov/,Benefits.gov - Your Path to Government Benefits,20
cdc.gov/std/hpv/pap/,Making Sense of Your Pap & HPV Test Results,20
cdc.gov/std/syphilis/stdfact-syphilis.htm,STD Facts - Syphilis,20
ceac.state.gov/genniv/general/review/review_reviewworkeducation.aspx?node=reviewworkeducation,Nonimmigrant Visa - Review Work / Education Information,20
ceac.state.gov/ivapp/common/sessiontimedout.aspx,Consular Electronic Application Center - Session Timed Out,20
consumerfinance.gov/,CFPB > Consumer Financial Protection Bureau,20
eauth.va.gov/wssweb/wss-common-webparts/mvc/benefitcustomizationformvet,Benefit Summary - Download VA Letters,20
epa.gov/insect-repellents/find-insect-repellent-right-you,Find the Insect Repellent that is Right for You | Insect Repellents: Reducing Insect Bites | US EPA,20
eric.ed.gov/,ERIC - Education Resources Information Center,20
faq.ssa.gov/link/portal/34011/34019/article/3754/what-is-the-eligibility-for-social-security-spouse-s-benefits-and-my-own-retirement-benefits,What is the eligibility for Social Security spouseâ€™s benefits and my own retirement benefits?,20
fec.gov/finance/disclosure/norindsea.shtml,Search Campaign Finance Data by Individual Contributor,20
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 39.1Â°N and Longitude 84.53Â°W (Elev. 518 ft),20
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 39.78Â°N and Longitude 89.63Â°W (Elev. 600 ft),20
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 40.71Â°N and Longitude 73.98Â°W (Elev. 26 ft),20
irs.gov/businesses/small-businesses-&-self-employed/s-corporations,S Corporations,20
irs.gov/individuals/offer-in-compromise-1,Offer in Compromise,20
irs.gov/individuals/transcript-availability,Current Year Transcript Availability,20
irs.gov/publications/p969/ar02.html,"Publication 969 (2015), Health Savings Accounts and Other Tax-Favored Health Plans",20
"irs.gov/uac/schedule-c-(form-1040),-profit-or-loss-from-business","Schedule C (Form 1040), Profit or Loss From Business",20
irs.gov/uac/taxpayer-identity-verification-information,Information You Need to Verify Your Identity,20
irs.gov/uac/tools,Tools,20
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_pagelabel=appointments,My HealtheVet,20
nasa.gov/mission_pages/station/research/news/top_ten_1ym/,Ten Things to Know About Scott Kellyâ€™s #YearInSpace | NASA,20
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a605045-es.html,Pregabalina: MedlinePlus medicinas,20
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a685024-es.html,Amoxicilina y ÃÅcido ClavulÃ¡nico: MedlinePlus medicinas,20
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a697037-es.html,Azitromicina: MedlinePlus medicinas,20
nlm.nih.gov/medlineplus/spanish/ency/article/000369.htm,SÃ_ndrome del ovario poliquÃ_stico: MedlinePlus enciclopedia mÃ©dica,20
nlm.nih.gov/medlineplus/spanish/ency/article/003120.htm,Dolor abdominal: MedlinePlus enciclopedia mÃ©dica,20
nlm.nih.gov/medlineplus/spanish/ency/patientinstructions/000386.htm,ExÃ¡menes de colesterol y sus resultados: MedlinePlus enciclopedia mÃ©dica,20
nps.gov/alca/index.htm,Alcatraz Island (U.S. National Park Service),20
nps.gov/yose/index.htm,Yosemite National Park (U.S. National Park Service),20
nsopw.gov/en/search,Search,20
onboarding.usastaffing.gov/default.aspx,Home Page,20
rd.usda.gov/programs-services/single-family-housing-guaranteed-loan-program,Single Family Housing Guaranteed Loan Program | USDA Rural Development,20
spc.noaa.gov/exper/mesoanalysis/new/viewsector.php?sector=17,SPC Hourly Mesoscale Analysis,20
ssa.gov/oact/babynames/,Popular Baby Names,20
studentaid.ed.gov/sa/fafsa/estimate,Estimate Your Aid | Federal Student Aid,20
therealcost.betobaccofree.hhs.gov/index.html,Home | The Real Cost,20
travel.state.gov/content/visas/en/immigrate/immigrant-process/approved/contact.html,Begin National Visa Center (NVC) Processing,20
tsa.gov/tsa-precheck/faq,TSA Preâœ“Â® FAQ | Transportation Security Administration,20
usajobs.gov/applicant/myaccount/home,My Account - Home,20
uscis.gov/i-821d,Consideration of Deferred Action for Childhood Arrivals | USCIS,20
uscis.gov/us-citizenship,U.S. Citizenship | USCIS,20
weather.gov/grr/february24252016snow,High Impact Winter Storm Expected Today Into Thursday,20
weather.gov/rlx/,"Charleston, WV",20
ar.usembassy.gov/es/visados/turismo-y-visitantes/tipo-de-tramite/,Tipo de trÃ¡mite y cÃ_mo presentar su solicitud | Embajada de Estados Unidos en Argentina,19
cdc.gov/zika/pregnancy/index.html,For Pregnant Women | Zika virus | CDC,19
consumerfinance.gov/regulatory-implementation/tila-respa/,TILA-RESPA Integrated Disclosure rule implementation > Consumer Financial Protection Bureau,19
cpars.cpars.gov/cpars/app/evaluation_refresh.action,CPARS/FAPIIS,19
faq.ssa.gov/ics/support/ticketnewwizard.asp?style=classic,Email Our Support Team,19
fmcsa.dot.gov/,Federal Motor Carrier Safety Administration,19
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 38.27Â°N and Longitude 77.56Â°W (Elev. 299 ft),19
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 38.88Â°N and Longitude 77.11Â°W (Elev. 249 ft),19
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 40.59Â°N and Longitude 98.38Â°W (Elev. 1936 ft),19
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 40.71Â°N and Longitude 74.01Â°W (Elev. 7 ft),19
ftccomplaintassistant.gov/,#NAME?,19
irs.gov/affordable-care-act/individuals-and-families/the-health-insurance-marketplace,The Health Insurance Marketplace,19
irs.gov/businesses/small-businesses-&-self-employed/independent-contractor-self-employed-or-employee,Independent Contractor (Self-Employed) or Employee?,19
irs.gov/news-&-events,News & Events,19
irs.gov/uac/about-form-w7,"Form W-7, Application for IRS Individual Taxpayer Identification Number",19
irs.gov/uac/contact-my-local-office-in-texas,Contact My Local Office in Texas,19
irs.gov/uac/here-is-what-to-do-if-you-are-missing-a-w-2,Here is What to do If You Are Missing a W-2,19
irs.gov/uac/newsroom/irs-issues-nine-out-of-10-refunds-in-less-than-21-days,IRS Issues Nine Out of 10 Refunds in Less than 21 Days,19
nasa.gov/audience/forstudents/5-8/features/nasa-knows/what-is-orion-58.html,What Is Orion? | NASA,19
niddk.nih.gov/health-information/health-topics/diagnostic-tests/a1c-test-diabetes/pages/index.aspx,The A1C Test and Diabetes | National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),19
nlm.nih.gov/medlineplus/spanish/ency/article/003024.htm,Dolor de cabeza: MedlinePlus enciclopedia mÃ©dica,19
nlm.nih.gov/medlineplus/spanish/ency/article/003104.htm,"HinchazÃ_n de tobillos, pies y piernas: MedlinePlus enciclopedia mÃ©dica",19
nps.gov/deva/index.htm,Death Valley National Park (U.S. National Park Service),19
nsopw.gov/?aspxautodetectcookiesupport=1,United States Department of Justice National Sex Offender Public Website,19
rd.usda.gov/publications/regulations-guidelines/handbooks,Handbooks | USDA Rural Development,19
regulations.gov/,Regulations.gov - Other Document,19
socialsecurity.gov/myaccount/lp/landing-page-re.html,Find Out More About Your Future Benefits With a my Social Security Account,19
spotthestation.nasa.gov/,Spot The Station | NASA,19
ssa.gov/disability/,Benefits for People with Disabilities,19
ssa.gov/oact/population/longevity.html,Retirement & Survivors Benefits: Life Expectancy Calculator,19
studentaid.ed.gov/sa/repay-loans/deferment-forbearance,Deferment and Forbearance | Federal Student Aid,19
travel.state.gov/content/passports/en/passports/lost-stolen.html,Lost or Stolen Passports,19
treasurydirect.gov/,TreasuryDirect - Home,19
usajobs.gov/applicant/application/listapplications,USAJOBS - Application Status,19
uspto.gov/patent/forms/forms-patent-applications-filed-or-after-september-16-2012,"Forms For Patent Applications Filed On Or After September 16, 2012 | USPTO",19
va.gov/statedva.htm,State Veterans Affairs Offices - U.S. Department of Veterans Affair,19
weather.gov/akq/severeweathertopnews,Severe Weather,19
weather.gov/current,Current Conditions,19
weather.gov/dmx/,"Des Moines, IA",19
weather.gov/lot/winter_storm_022316,Dangerous Winter Storm to Impact Travel this Afternoon & Tonight for Parts of the Area,19
whitehouse.gov/1600/presidents/abrahamlincoln,Abraham Lincoln | whitehouse.gov,19
wrh.noaa.gov/pqr/,National Weather Service - NWS Portland,19
apps.irs.gov/app/picklist/list/federalrates.html,Index of Applicable Federal Rates (AFR) Rulings,18
apps.irs.gov/app/scripts/exit.jsp?dest=http://www.youtube.com/watch?v=anc8tt1wdhi,IRS Disclaimer,18
apps.irs.gov/app/withholdingcalculator/,2016 Withholding Calculator,18
benefits.gov/benefits/benefit-finder/,Benefits.gov - Benefit Finder,18
bhs.econ.census.gov/bhs/cosasm/index.html,Report of Organization and Annual Survey of Manufactures,18
catalog.usmint.gov/coins/gold-coins/,Gold Coins | Buy US Mint Gold Coins Online,18
catalog.usmint.gov/product-schedule/,Sites-USM-Site,18
catalog.usmint.gov/product-schedule/?view=all,Sites-USM-Site,18
ceac.state.gov/ctrac/invoice/signon.aspx,Sign In Page,18
ceac.state.gov/genniv/general/review/review_reviewlocation.aspx?node=reviewlocation,Non-Immigrant Visa - Review Location,18
choosemyplate.gov/dairy,All about the Dairy Group | Choose MyPlate,18
choosemyplate.gov/myplate-daily-checklist,MyPlate Daily Checklist | Choose MyPlate,18
doi.gov/doilearn,DOI Learn | U.S. Department of the Interior,18
e-verify.uscis.gov/emp/verify.aspx,E-Verify - Initial Verification - List B & C Documents,18
egov.uscis.gov/casestatus/mycasestatus.do,myUSCIS - Estado de Caso,18
faq.ssa.gov/ics/support/kbanswer.asp?deptid=34019&task=knowledge&questionid=3708,Selected Topic,18
fda.gov/cosmetics/productsingredients/ingredients/ucm293184.htm,Ingredients > Talc,18
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 37.67Â°N and Longitude 121.75Â°W (Elev. 558 ft),18
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 38.03Â°N and Longitude 78.48Â°W (Elev. 400 ft),18
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 42.96Â°N and Longitude 85.67Â°W (Elev. 620 ft),18
ftccomplaintassistant.gov/gettingstarted,GettingStarted - FTC Complaint Assistant,18
irs.gov/individuals/self-employed,Self-Employed Individuals Tax Center,18
irs.gov/publications/p17/ch03.html,"Publication 17 (2015), Your Federal Income Tax",18
irs.gov/publications/p463/ch04.html,"Publication 463 (2015), Travel, Entertainment, Gift, and Car Expenses",18
irs.gov/tax-professionals/standard-mileage-rates,Standard Mileage Rates,18
irs.gov/uac/newsroom/scam-phone-calls-continue,Scam Phone Calls Continue; IRS Identifies Five Easy Ways to Spot Suspicious Calls,18
jpl.nasa.gov/,"NASA Jet Propulsion Laboratory (JPL) - Space Mission and Science News, Videos and Images",18
my.usajobs.gov/,USAJOBS - The Federal Governmentâ€™s Official Jobs Site,18
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a600045-es.html,Atorvastatina: MedlinePlus medicinas,18
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a682733-es.html,Cefalexina: MedlinePlus medicinas,18
nlm.nih.gov/medlineplus/spanish/ency/article/000080.htm,Gripe: MedlinePlus enciclopedia mÃ©dica,18
nlm.nih.gov/medlineplus/spanish/ency/article/000249.htm,Enfermedad de Crohn : MedlinePlus enciclopedia mÃ©dica,18
nlm.nih.gov/medlineplus/spanish/ency/article/000273.htm,CÃ¡lculos biliares: MedlinePlus enciclopedia mÃ©dica,18
nlm.nih.gov/medlineplus/spanish/ency/article/000353.htm,Hipotiroidismo: MedlinePlus enciclopedia mÃ©dica,18
nlm.nih.gov/medlineplus/spanish/ency/article/000458.htm,CÃ¡lculos renales: MedlinePlus enciclopedia mÃ©dica,18
nlm.nih.gov/medlineplus/spanish/ency/article/000468.htm,HipertensiÃ_n arterial: MedlinePlus enciclopedia mÃ©dica,18
nlm.nih.gov/medlineplus/spanish/ency/article/000914.htm,Miomas uterinos: MedlinePlus enciclopedia mÃ©dica,18
nlm.nih.gov/medlineplus/spanish/ency/article/001511.htm,Candidosis vaginal: MedlinePlus enciclopedia mÃ©dica,18
nlm.nih.gov/medlineplus/spanish/ency/article/003643.htm,Conteo de glÃ_bulos blancos: MedlinePlus enciclopedia mÃ©dica,18
osha.gov/law-regs.html,OSHA Law & Regulations,18
portal.hud.gov/hudportal/hud?src=/topics/housing_choice_voucher_program_section_8,Housing Choice Voucher Program Section 8,18
regulations.gov/,Regulations.gov - Docket Browser,18
regulations.gov/,Regulations.gov - Docket Folder Summary,18
sm.myhealth.va.gov/mhv-sm-web/replysubmit.action,My HealtheVet - Secure Messaging - Inbox,18
socialsecurity.gov/disabilityssi/,Social Security Disability Benefits - Online Application Information,18
socialsecurity.gov/hlp/myssa/hlp-phone.htm,MySSA: Why We Ask For Your Phone Number,18
spc.noaa.gov/climo/reports/last3hours.html,Storm Prediction Center Storm Reports - Last 3 Hours,18
ssa.gov/planners/taxwithold.html,Benefits Planner: Withholding Income Tax From Your Social Security Benefits,18
state.gov/misc/415.htm,Privacy Policy,18
stopbullying.gov/respond/be-more-than-a-bystander,Be More Than a Bystander | StopBullying.gov,18
studentaid.ed.gov/sa/types/grants-scholarships/finding-scholarships,Finding and Applying for Scholarships | Federal Student Aid,18
travel.state.gov/content/visas/en.html,U.S. Visa,18
travel.state.gov/content/visas/en/employment/temporary.html,Temporary Worker Visa,18
travel.state.gov/content/visas/en/immigrate/immigrant-process/documents/supporting_documents.html,Collect Supporting Documents,18
travel.state.gov/vpv404/content/travel/en/404.html/,404 - Page Not Found,18
treasury.gov/resource-center/data-chart-center/interest-rates/pages/default.aspx,Interest Rate Statistics,18
tsa.gov/travel/frequently-asked-questions,Frequently Asked Questions | Transportation Security Administration,18
tsa.gov/travel/travel-tips,Travel Tips | Transportation Security Administration,18
uscis.gov/green-card/after-green-card-granted/renew-green-card,Renew a Green Card | USCIS,18
uscis.gov/green-card/green-card-through-job/previous-pending-employment-based-i-485-inventory/pending-employment-based-i-485-inventory,Pending Employment-Based I-485 Inventory | USCIS,18
uscis.gov/i-864p,Poverty Guidelines | USCIS,18
va.gov/jobs/,VA JOBS Home,18
vacareers.va.gov/,VA Careers Home,18
weather.gov/akq/brief,NWS Wakefield Briefing Web page,18
weather.gov/aly/,"Albany, NY",18
weather.gov/car/,"Caribou, ME",18
whitehouse.gov/live,Live Events | whitehouse.gov,18
wrh.noaa.gov/mtr/,National Weather Service - NWS San Francisco/Monterey Bay Area,18
www2.ed.gov/policy/gen/guid/fpco/ferpa/index.html,Family Educational Rights and Privacy Act (FERPA),18
apps.irs.gov/app/picklist/list/formspublications.html?indexoffirstrow=300&sortcolumn=sortorder&value=&criteria=&resultsperpage=25&isdescending=false,Forms and Publications (PDF),17
apps.irs.gov/app/scripts/exit.jsp?dest=http://www.freetaxusa.com/freefile,IRS Disclaimer,17
apps.irs.gov/app/scripts/exit.jsp?dest=http://www.olt.com/main/oltfree/default.asp,IRS Disclaimer,17
benefits.va.gov/homeloans/purchaseco_certificate.asp,Certificate of Eligibility - Home Loans,17
bhs.econ.census.gov/bhs/cfsadvance/index.html,Commodity Flow Survey Advance Questionnaire,17
cdc.gov/norovirus/about/transmission.html,Norovirus | Transmission | CDC,17
cdc.gov/rsv/,RSV | Home | Respiratory Syncytial Virus | CDC,17
cdc.gov/vaccines/schedules/easy-to-read/child.html,Immunization Schedules for Children in Easy-to-read Formats | CDC,17
ceac.state.gov/ivapp/ivapp/complete/complete_personalcont.aspx?node=personal2,Immigrant Visa - Personal Information 2,17
consumer.ftc.gov/blog/my-very-own-irs-imposter-call,My very own IRS imposter call | Consumer Information,17
consumer.ftc.gov/topics/kids-online-safety,Kids' Online Safety | Consumer Information,17
defense.gov/news/news-releases,News Releases,17
e-verify.uscis.gov/emp/verify.aspx,E-Verify - Initial Verification - Select Document,17
eauth.va.gov/wssweb/wss-common-webparts/mvc/downloadletters,Letter Generator - Download VA Letters,17
eauth.va.gov/wssweb/wss-common-webparts/mvc/ebn/benefitsmain,Additional Benefits,17
eric.ed.gov/,ERIC - Search Results,17
faq.ssa.gov/ics/support/default.asp?deptid=34019&_referrer=,Frequently Asked Questions,17
find.irs.gov/search?utf8=?&affiliate=irs-fp&commit=search,1040 - IRS Current Forms & Publications Search Search Results,17
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 38.64Â°N and Longitude 90.23Â°W (Elev. 538 ft),17
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 41.69Â°N and Longitude 86.25Â°W (Elev. 682 ft),17
gsa.gov/portal/content/100715,Privately Owned Vehicle (POV) Mileage Reimbursement Rates,17
gsaauctions.gov/gsaauctions/aucbystate/,"GSA Auctions, General Services Administration, Government Site for Auctions",17
irs.gov/charities-&-non-profits/exempt-organizations-select-check,EO Select Check,17
irs.gov/individuals/get-transcript-faqs,Get Transcript FAQs,17
irs.gov/individuals/irs-notice-or-letter-for-individual-filers,IRS Notice or Letter: Individual Filers,17
irs.gov/individuals/retrieve-your-ip-pin,Retrieve Your Lost or Misplaced IP PIN,17
irs.gov/individuals/tax-return-transcript-types-and-ways-to-order-them,Transcript Types and Ways to Order Them,17
irs.gov/publications/p15/ar02.html,"Publication 15 (2016), (Circular E), Employer's Tax Guide",17
irs.gov/publications/p970/ch06.html,"Publication 970 (2015), Tax Benefits for Education",17
irs.gov/tax-professionals/ptin-requirements-for-tax-return-preparers,PTIN Requirements for Tax Return Preparers,17
irs.gov/uac/about-form-1099,General Instructions for Certain Information Returns,17
irs.gov/uac/american-opportunity-tax-credit:-questions-and-answers,American Opportunity Tax Credit: Questions and Answers,17
justice.gov/opa/pr/fourteen-alleged-gang-members-and-associates-indicted-charleston-south-carolina-federal,"Fourteen Alleged Gang Members and Associates Indicted in Charleston, South Carolina, on Federal Racketeering and Attempted Murder Charges | OPA | Department of Justice",17
niddk.nih.gov/health-information/informacion-de-la-salud/anatomia/aparato-digestivo/pages/fact.aspx,El aparato digestivo y su funcionamiento | National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),17
nlm.nih.gov/medlineplus/ency/article/000167.htm,Hypovolemic shock: MedlinePlus Medical Encyclopedia,17
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a685032-es.html,Ceftriaxona inyectable: MedlinePlus medicinas,17
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a688016-es.html,Ciprofloxacina: MedlinePlus medicinas,17
nlm.nih.gov/medlineplus/spanish/ency/article/000145.htm,NeumonÃ_a en adultos (extrahospitalaria): MedlinePlus enciclopedia mÃ©dica,17
nlm.nih.gov/medlineplus/spanish/ency/article/000560.htm,Anemia: MedlinePlus enciclopedia mÃ©dica,17
nlm.nih.gov/medlineplus/spanish/ency/article/000606.htm,Herpes oral: MedlinePlus enciclopedia mÃ©dica,17
nlm.nih.gov/medlineplus/spanish/ency/article/000680.htm,Meningitis: MedlinePlus enciclopedia mÃ©dica,17
nps.gov/yell/index.htm,Yellowstone National Park (U.S. National Park Service),17
nsopw.gov/,United States Department of Justice National Sex Offender Public Website,17
nsopw.gov/en-us/search/verification,Verification,17
osha.gov/recordkeeping/rkforms.html,Recordkeeping | Injury & Illness Recordkeeping Forms,17
public-prod-elis2.uscis.dhs.gov/efile/app/app/iv/#!/,USCIS,17
rd.usda.gov/,USDA Rural Development,17
socialsecurity.gov/myaccount/lp/landing-page-iclaim-save.html,Manage Your Benefits With A my Social Security Account,17
socialsecurity.gov/ssnumber/ss5doc.htm,Learn what documents you need to get a Social Security Card,17
spanish.caracas.usembassy.gov/es/visas/nonimmigrant-visas.html,"Visas de No-Inmigrante | Caracas, Venezuela - Embajada de los Estados Unidos",17
ssa.gov/ar/,Appointed Representative Services,17
studentaid.ed.gov/sa/fafsa/filling-out/school-list,Listing Colleges on the FAFSA | Federal Student Aid,17
